流,起始时间,结束时间,源ip,目的ip,源端口,目的端口,平均包长,平均间隔,平均窗口大小,平均rtt,最大rtt,最小rtt,重传数,重传率,无载荷ack,带宽,吞吐量
flow1.1,1659235662.52538,1659235686.50727,192.168.1.23,119.176.28.59,54745,443,59.64494,0.04114,3879.25386,0.00000,0.00000,0.00000,23,0.03938,554,4417801.32062,58400.00000,
flow1.2,1659235662.52523,1659235686.52579,119.176.28.59,192.168.1.23,443,54745,1431.86908,0.01475,1406.58451,0.00010,0.00048,0.00002,4,0.00246,0,22667405.07713,16280.00000,
flow2.1,1659235686.52839,1659235705.50374,192.168.1.23,119.176.28.59,54746,443,59.22893,0.02161,1382.69248,0.00000,0.00000,0.00000,39,0.04437,832,6141109.79043,87900.00000,
flow2.2,1659235686.52822,1659235705.52562,119.176.28.59,192.168.1.23,443,54746,1442.57738,0.00528,1417.74021,0.00009,0.00030,0.00002,7,0.00194,0,51092682.97157,36000.00000,
flow3.1,1659235705.55708,1659235727.50288,192.168.1.23,119.176.28.59,54751,443,58.30401,0.02839,2002.01682,0.00000,0.00000,0.00000,26,0.03359,741,5454767.22427,77400.00000,
flow3.2,1659235705.55692,1659235727.52669,119.176.28.59,192.168.1.23,443,54751,1435.09462,0.01148,1405.05750,0.00010,0.00023,0.00002,6,0.00313,0,26807379.66594,19140.00000,
flow4.1,1659235727.52588,1659235750.51167,192.168.1.23,119.176.28.59,54752,443,63.65951,0.07051,1174.57975,0.00000,0.00000,0.00000,12,0.03670,308,2793275.36776,32700.00000,
flow4.2,1659235727.52573,1659235750.53122,119.176.28.59,192.168.1.23,443,54752,1433.41227,0.01810,1403.33989,0.00024,0.04099,0.00002,4,0.00314,0,17612696.98130,12720.00000,
flow5.1,1659235750.53533,1659235774.50404,192.168.1.23,119.176.28.59,54753,443,69.96400,0.09587,1915.00000,0.00000,0.00000,0.00000,56,0.22311,189,2492750.30817,25100.00000,
flow5.2,1659235750.53523,1659235774.52813,119.176.28.59,192.168.1.23,443,54753,1443.71392,0.01553,1408.42136,0.00015,0.00048,0.00003,4,0.00259,0,21702713.85378,15460.00000,
flow6.1,1659235774.52843,1659235807.50486,192.168.1.23,119.176.28.59,54754,443,61.03877,0.05327,1925.90630,0.00000,0.00000,0.00000,20,0.03226,592,4757869.56357,62000.00000,
flow6.2,1659235774.52829,1659235807.52637,119.176.28.59,192.168.1.23,443,54754,1438.01266,0.01492,1414.43329,0.00011,0.00080,0.00001,5,0.00226,0,31152751.53869,22120.00000,
flow7.1,1659235807.52973,1659235823.61184,192.168.1.23,119.176.28.59,54755,443,64.88316,0.05526,1807.53608,0.00000,0.00000,0.00000,14,0.04795,272,2627185.47317,29200.00000,
flow7.2,1659235807.52954,1659235823.61175,119.176.28.59,192.168.1.23,443,54755,1428.55917,0.01453,1404.89341,0.00012,0.00029,0.00004,5,0.00451,0,15273102.33074,11080.00000,
flow8.1,1659235662.52460,1659235662.52460,119.176.28.59,192.168.1.23,443,54743,0.00000,0.00000,0.00000,0.00000,0.00000,1000.00000,0,0.00000,1,0.00000,0.00000,
flow8.2,1659235662.01726,1659235662.50282,192.168.1.23,119.176.28.59,54743,443,54.00000,0.48557,2741.00000,0.00000,0.00000,1000.00000,1,0.50000,0,540.00000,20.00000,
